City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
301,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.0,73,14,1.99,few clouds
302,Gadwal,IN,16.2333,77.8,76.68,60,2,8.25,clear sky
303,Bowen,AU,-20.0167,148.2333,82.4,78,90,9.22,overcast clouds
304,Bambanglipuro,ID,-7.95,110.2833,83.21,67,97,3.15,overcast clouds
305,Kibara,TZ,-2.15,33.45,69.55,81,64,5.46,light rain
306,Santa Eulalia,PE,-11.85,-76.6833,69.8,83,0,12.66,clear sky
307,Mangai,CD,-4.05,19.5333,66.27,96,100,0.51,overcast clouds
308,Tongren,CN,27.7172,109.1853,38.21,54,38,7.4,scattered clouds
309,Bonavista,CA,48.6499,-53.1147,42.8,100,95,3.44,overcast clouds
310,Igrim,RU,63.1906,64.4162,-12.21,90,98,1.5,overcast clouds
311,Sechura,PE,-5.5569,-80.8222,71.83,75,73,10.27,broken clouds
312,Balikpapan,ID,-1.2675,116.8289,84.2,79,20,3.44,few clouds
313,Lamar,US,33.6668,-95.5836,42.8,81,90,11.5,overcast clouds
314,Araouane,ML,18.9048,-3.5265,70.84,22,0,9.55,clear sky
315,Phan Thiet,VN,10.9333,108.1,81.97,60,60,11.74,broken clouds
316,Consolacion Del Sur,CU,22.5047,-83.5136,68.11,90,63,2.59,broken clouds
317,Saint Anthony,US,45.0205,-93.218,23.0,100,90,3.44,mist
318,Cherskiy,RU,68.75,161.3,-14.4,89,94,2.98,overcast clouds
319,Berlevag,NO,70.8578,29.0864,20.75,93,3,25.55,clear sky
320,Tazovskiy,RU,67.4667,78.7,-7.87,90,100,17.47,overcast clouds
321,Svaty Jur,SK,48.2522,17.2154,30.99,100,32,1.88,scattered clouds
322,La Palma,US,33.8464,-118.0467,59.0,100,75,3.44,mist
323,Borzya,RU,50.3833,116.5167,-7.49,85,20,11.7,few clouds
324,Ballina,AU,-28.8667,153.5667,69.8,88,75,16.11,light rain
325,Pespire,HN,13.5922,-87.3617,68.0,83,40,2.51,scattered clouds
326,Anderson,US,34.5334,-82.6499,39.2,87,90,10.36,light rain
327,Collie,AU,-33.3667,116.15,107.04,9,1,2.77,clear sky
328,Provideniya,RU,64.3833,-173.3,-7.98,82,7,4.18,clear sky
329,Honningsvag,NO,70.9821,25.9704,25.09,94,0,30.71,clear sky
330,Puerto Madryn,AR,-42.7692,-65.0385,59.36,60,0,8.59,clear sky
331,Lasa,IT,46.6166,10.7002,25.0,79,0,6.91,clear sky
332,Saint George,US,37.1041,-113.5841,44.6,33,1,6.91,clear sky
333,Ostrovnoy,RU,68.0531,39.5131,8.76,94,5,7.83,clear sky
334,Wukari,NG,7.85,9.7833,71.96,57,53,4.54,broken clouds
335,Gloversville,US,43.0528,-74.3438,21.99,100,1,5.75,clear sky
336,Suntar,RU,62.1444,117.6319,6.87,94,100,7.27,overcast clouds
337,Nurota,UZ,40.5614,65.6886,12.2,92,0,2.33,mist
338,Boyolangu,ID,-8.1181,111.8935,79.75,78,97,1.72,overcast clouds
339,Hasaki,JP,35.7333,140.8333,46.0,31,40,5.75,scattered clouds
340,Luanda,AO,-8.8368,13.2343,77.0,88,75,5.75,broken clouds
341,Touros,BR,-5.1989,-35.4608,78.8,78,20,8.05,few clouds
342,Zharkent,KZ,44.1628,80.0,11.91,91,100,4.03,overcast clouds
343,East London,ZA,-33.0153,27.9116,64.4,94,0,3.44,clear sky
344,Kendari,ID,-3.945,122.4989,84.45,78,99,2.71,light rain
345,Kambove,CD,-10.8764,26.5969,61.48,99,100,6.22,light rain
